Year	Area	Variable	Generation (TWh)	Share of production (%)	Change on last year (%)	Change on last year (TWh)
2000	Austria	Fossil	16	27		
2000	Austria	Coal	6	10		
2000	Austria	Hard Coal	4	7		
2000	Austria	Lignite	1	2		
2000	Austria	Gas	8	13		
2000	Austria	Other fossil	3	5		
2000	Austria	Nuclear	0	0		
2000	Austria	Renewables	43	73		
2000	Austria	Hydro	42	70		
2000	Austria	Wind and solar	0	0		
2000	Austria	Wind	0	0		
2000	Austria	Solar	0	0		
2000	Austria	Bioenergy	2	3		
2000	Austria	Other renewables	0	0		
2000	Austria	Production	60			
2000	Austria	Net imports	-1			
2000	Austria	Demand	58			
2000	Belgium	Fossil	34	41		
2000	Belgium	Coal	13	16		
2000	Belgium	Hard Coal	13	16		
2000	Belgium	Lignite	0	0		
2000	Belgium	Gas	16	19		
2000	Belgium	Other fossil	5	6		
2000	Belgium	Nuclear	48	58		
2000	Belgium	Renewables	1	1		
2000	Belgium	Hydro	0	1		
2000	Belgium	Wind and solar	0	0		
2000	Belgium	Wind	0	0		
2000	Belgium	Solar	0	0		
2000	Belgium	Bioenergy	1	1		
2000	Belgium	Other renewables	0	0		
2000	Belgium	Production	83			
2000	Belgium	Net imports	4			
2000	Belgium	Demand	87			
2000	Bulgaria	Fossil	20	49		
2000	Bulgaria	Coal	17	42		
2000	Bulgaria	Hard Coal	3	7		
2000	Bulgaria	Lignite	14	34		
2000	Bulgaria	Gas	2	5		
2000	Bulgaria	Other fossil	1	2		
2000	Bulgaria	Nuclear	18	45		
2000	Bulgaria	Renewables	3	6		
2000	Bulgaria	Hydro	3	6		
2000	Bulgaria	Wind and solar	0	0		
2000	Bulgaria	Wind	0	0		
2000	Bulgaria	Solar	0	0		
2000	Bulgaria	Bioenergy	0	0		
2000	Bulgaria	Other renewables	0	0		
2000	Bulgaria	Production	41			
2000	Bulgaria	Net imports	-5			
2000	Bulgaria	Demand	36			
2000	Croatia	Fossil	5	43		
2000	Croatia	Coal	2	14		
2000	Croatia	Hard Coal	2	14		
2000	Croatia	Lignite	0	0		
2000	Croatia	Gas	2	14		
2000	Croatia	Other fossil	2	15		
2000	Croatia	Nuclear	0	0		
2000	Croatia	Renewables	6	57		
2000	Croatia	Hydro	6	57		
2000	Croatia	Wind and solar	0	0		
2000	Croatia	Wind	0	0		
2000	Croatia	Solar	0	0		
2000	Croatia	Bioenergy	0	0		
2000	Croatia	Other renewables	0	0		
2000	Croatia	Production	11			
2000	Croatia	Net imports	3			
2000	Croatia	Demand	15			
2000	Cyprus	Fossil	3	100		
2000	Cyprus	Coal	0	0		
2000	Cyprus	Hard Coal	0	0		
2000	Cyprus	Lignite	0	0		
2000	Cyprus	Gas	0	0		
2000	Cyprus	Other fossil	3	100		
2000	Cyprus	Nuclear	0	0		
2000	Cyprus	Renewables	0	0		
2000	Cyprus	Hydro	0	0		
2000	Cyprus	Wind and solar	0	0		
2000	Cyprus	Wind	0	0		
2000	Cyprus	Solar	0	0		
2000	Cyprus	Bioenergy	0	0		
2000	Cyprus	Other renewables	0	0		
2000	Cyprus	Production	3			
2000	Cyprus	Net imports	0			
2000	Cyprus	Demand	3			
2000	Czech Republic	Fossil	57	78		
2000	Czech Republic	Coal	53	72		
2000	Czech Republic	Hard Coal	6	8		
2000	Czech Republic	Lignite	47	65		
2000	Czech Republic	Gas	2	2		
2000	Czech Republic	Other fossil	3	4		
2000	Czech Republic	Nuclear	14	19		
2000	Czech Republic	Renewables	2	3		
2000	Czech Republic	Hydro	2	2		
2000	Czech Republic	Wind and solar	0	0		
2000	Czech Republic	Wind	0	0		
2000	Czech Republic	Solar	0	0		
2000	Czech Republic	Bioenergy	1	1		
2000	Czech Republic	Other renewables	0	0		
2000	Czech Republic	Production	73			
2000	Czech Republic	Net imports	-10			
2000	Czech Republic	Demand	63			
2000	Denmark	Fossil	30	85		
2000	Denmark	Coal	17	46		
2000	Denmark	Hard Coal	17	46		
2000	Denmark	Lignite	0	0		
2000	Denmark	Gas	9	24		
2000	Denmark	Other fossil	5	14		
2000	Denmark	Nuclear	0	0		
2000	Denmark	Renewables	6	15		
2000	Denmark	Hydro	0	0		
2000	Denmark	Wind and solar	4	12		
2000	Denmark	Wind	4	12		
2000	Denmark	Solar	0	0		
2000	Denmark	Bioenergy	1	4		
2000	Denmark	Other renewables	0	0		
2000	Denmark	Production	36			
2000	Denmark	Net imports	1			
2000	Denmark	Demand	37			
2000	Estonia	Fossil	8	100		
2000	Estonia	Coal	0	0		
2000	Estonia	Hard Coal	0	0		
2000	Estonia	Lignite	0	0		
2000	Estonia	Gas	1	7		
2000	Estonia	Other fossil	8	93		
2000	Estonia	Nuclear	0	0		
2000	Estonia	Renewables	0	0		
2000	Estonia	Hydro	0	0		
2000	Estonia	Wind and solar	0	0		
